"Source Name","State Name","District Name","Block Name","GP Name","Overall","T1","T1_Grade","T2","T2_Grade","T3","T3_Grade","T4","T4_Grade","T5","T5_Grade","T6","T6_Grade","T7","T7_Grade","T8","T8_Grade","T9","T9_Grade"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Ducherthi",62.88,71.78,"B - Performer",77.96,"A - Front Runner",71.53,"B - Performer",54.68,"C - Aspirant",44.75,"C - Aspirant",53.81,"C - Aspirant",64.4,"B - Performer",74.17,"B - Performer",61.03,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Puligogulapadu",60.92,65.71,"B - Performer",85.28,"A - Front Runner",70.13,"B - Performer",59.11,"C - Aspirant",44.15,"C - Aspirant",49.04,"C - Aspirant",60.89,"B - Performer",58.74,"C - Aspirant",64.28,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Konalova",60.44,68.02,"B - Performer",76.77,"A - Front Runner",74.8,"B - Performer",41.66,"C - Aspirant",41.91,"C - Aspirant",50.64,"C - Aspirant",68.8,"B - Performer",73.03,"B - Performer",62.02,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Bodlanka",60.43,69.66,"B - Performer",86.04,"A - Front Runner",69.5,"B - Performer",58.05,"C - Aspirant",41.79,"C - Aspirant",46.38,"C - Aspirant",67.16,"B - Performer",61.92,"B - Performer",55.11,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Gontuvanipalem",60.09,63.66,"B - Performer",85.2,"A - Front Runner",67.78,"B - Performer",57.93,"C - Aspirant",33.01,"D - Beginner",48.72,"C - Aspirant",67.26,"B - Performer",68.21,"B - Performer",65.01,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Dakodu",59.8,70.51,"B - Performer",76.38,"A - Front Runner",68.58,"B - Performer",52.5,"C - Aspirant",37.26,"D - Beginner",44.58,"C - Aspirant",67.91,"B - Performer",72.1,"B - Performer",61.97,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Kimmuru",59.8,68.02,"B - Performer",73.75,"B - Performer",64.49,"B - Performer",54.53,"C - Aspirant",43.41,"C - Aspirant",48.39,"C - Aspirant",64.75,"B - Performer",63.28,"B - Performer",64.43,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Addateegala",59.25,74.67,"B - Performer",88.31,"A - Front Runner",74.69,"B - Performer",60.88,"B - Performer",35.75,"D - Beginner",43.21,"C - Aspirant",58.15,"C - Aspirant",45.21,"C - Aspirant",73.86,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Vetamamidi",57.28,63.18,"B - Performer",80.88,"A - Front Runner",65.79,"B - Performer",56.1,"C - Aspirant",35.77,"D - Beginner",42.76,"C - Aspirant",62.26,"B - Performer",54.72,"C - Aspirant",67.52,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","D.Bheemavaram",56.89,62.81,"B - Performer",83.93,"A - Front Runner",71.52,"B - Performer",49.52,"C - Aspirant",37.21,"D - Beginner",43.07,"C - Aspirant",53.68,"C - Aspirant",57.59,"C - Aspirant",67.46,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Bheemudupakalu",56.39,64.35,"B - Performer",86.21,"A - Front Runner",68.21,"B - Performer",54.08,"C - Aspirant",38.52,"D - Beginner",42.74,"C - Aspirant",63.4,"B - Performer",46.24,"C - Aspirant",58.34,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Matlapadu",55.22,66.13,"B - Performer",80.15,"A - Front Runner",67.82,"B - Performer",50.97,"C - Aspirant",37.49,"D - Beginner",43.77,"C - Aspirant",57.45,"C - Aspirant",46.32,"C - Aspirant",59.67,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Yellavaram",55.02,60.92,"B - Performer",77.82,"A - Front Runner",69.94,"B - Performer",58.7,"C - Aspirant",32.68,"D - Beginner",47.08,"C - Aspirant",57.17,"C - Aspirant",46.51,"C - Aspirant",58.02,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Thimmapuram",54.97,75.49,"A - Front Runner",82.56,"A - Front Runner",63.55,"B - Performer",56.47,"C - Aspirant",27.24,"D - Beginner",43.19,"C - Aspirant",59.95,"C - Aspirant",47.43,"C - Aspirant",61.27,"B - Performer"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Doramamidi",54.58,73.21,"B - Performer",84.76,"A - Front Runner",61.66,"B - Performer",54.98,"C - Aspirant",38.87,"D - Beginner",42.84,"C - Aspirant",57.49,"C - Aspirant",36.77,"D - Beginner",58.04,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Gondolu",54.4,68.79,"B - Performer",84.66,"A - Front Runner",71.63,"B - Performer",58.85,"C - Aspirant",27.68,"D - Beginner",40.62,"C - Aspirant",57.97,"C - Aspirant",44.69,"C - Aspirant",58.3,"C - Aspirant"
"Theme wise PAI Score of Gram Panchayat Adee.xlsx","Andhra Pradesh","Alluri Sitharama Raju","Addateegala","Veeravaram",54.17,66.15,"B - Performer",87.09,"A - Front Runner",71.31,"B - Performer",60.53,"B - Performer",26.78,"D - Beginner",42.24,"C - Aspirant",50.76,"C - Aspirant",51.12,"C - Aspirant",54.98,"C - Aspirant"
